Trimestre;Vente
30/09/2007;270000
31/12/2007;1120000
31/03/2008;2320000
30/06/2008;1700000
30/09/2008;720000
31/12/2008;6890000
31/03/2009;4360000
30/06/2009;3790000
30/09/2009;5210000
31/12/2009;7370000
31/03/2010;8740000
30/06/2010;8750000
30/09/2010;8400000
31/12/2010;14100000
31/03/2011;16240000
30/06/2011;18650000
30/09/2011;20340000
31/12/2011;17070000
31/03/2012;37040000
30/06/2012;35060000
30/09/2012;26030000
31/12/2012;26910000
31/03/2013;47790000
30/06/2013;37430000
30/09/2013;31240000
31/12/2013;33800000
31/03/2014;51030000
30/06/2014;43720000
30/09/2014;35200000
31/12/2014;39270000
31/03/2015;74470000
30/06/2015;61170000
30/09/2015;47530000
31/12/2015;48050000
31/03/2016;74780000
30/06/2016;51190000
30/09/2016;40400000
31/12/2016;45510000
31/03/2017;78290000
30/06/2017;50760000
30/09/2017;41030000
31/12/2017;46680000
31/03/2018;77320000
30/06/2018;52220000
30/09/2018;41300000
31/12/2018;46890000
